sample_id,energy_mev,voxels,criterion,interp_fraction,max_gamma,rung,backend,device,dtype,path,pass_rate_pct,seconds_best,seconds_mean,repeats
080281e0-850c-4030-a1eb-da148c77a9cf,156.6183578968048,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,99.50508174988953,0.36272625997662544,0.3722862962943812,3
13b54e4f-f8f8-4b93-84c5-61ac5a170582,177.97147750854492,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,96.59897476340694,0.7718993930611759,0.7968366586913666,3
15e69e83-9763-4e3d-b98f-0112f9d8a0ff,135.43013453483582,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,93.2438059546117,1.4138554689707235,1.452380972332321,3
2863720e-f0d2-4679-a463-e8942091b113,161.7336881160736,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,97.72016092981673,0.6106004079338163,0.6421034769931188,3
2a0b77ce-1f12-4a2b-8712-ddb79a9e5746,142.26308584213257,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,92.38292486480267,1.2872332719853148,1.3426484329781185,3
31b5555a-ff42-4060-8504-97805fe9dbca,120.86735486984253,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,96.7074682367524,0.7371562049956992,0.7489711916617429,3
38cf13ac-fc55-4e7a-82a9-76d9e278380e,137.6460564136505,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,96.11650485436894,0.6513009159825742,0.6608512453191603,3
3de01567-4d63-4d60-be0f-717162ef3a2e,160.04783034324646,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,95.7158836689038,0.6625569219468161,0.6663289886588851,3
4ee9e379-9cfe-42bd-9e27-7bb3325fdaf5,166.2262988090515,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,97.37783075089392,0.34935474896337837,0.3619877256763478,3
510113c3-76bd-4bc9-9089-71e2c1bb2036,79.81263816356659,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,98.34827748938179,0.14540156500879675,0.15001276465288052,3
6893e011-a87f-45fe-ae10-516bc74a5257,146.84538960456848,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,96.55383672844233,0.4398004029644653,0.5358717299920196,3
695cf12e-95f8-4d8a-afdd-02ea04ada6e2,142.38298654556274,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,85.13889994428082,4.219189589028247,4.30060564299735,3
72fd486f-084e-4000-8d19-355604cf687f,158.20101022720337,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,98.08398689566167,0.46424724196549505,0.4862371406440313,3
74af10f2-83d9-4fbd-b848-5ac41694f3fd,173.58777046203613,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,97.32851260419805,0.5520621460163966,0.5666405396768823,3
7a78633c-2ba5-4fee-b606-628fa3f3fa30,80.71996614336967,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,97.11236660389203,0.21711612190119922,0.2294242976931855,3
836e6824-cf0d-4dff-8cbc-a17f7f47ae2a,99.21854853630066,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,98.93139559734986,0.18353641999419779,0.18906263867393136,3
883a1941-a022-4bd0-aa7e-bc053cb60856,153.4105908870697,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,90.6818448538904,1.518104917020537,1.5327689377202962,3
9247005d-f858-45db-874d-bdb91ec05f6e,116.248260140419,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,90.45352042094713,0.7383144079940394,0.7789464653469622,3
acad417b-c3e8-464b-9cf2-f9d9b831095b,144.26342368125916,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,84.11927877947295,3.1511965750250965,3.158785897345903,3
ae66f60e-ad24-4a8c-b34d-ab554da98962,148.0334234237671,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,81.93936933279198,6.225598782999441,6.3783918373519555,3
bb89c4a7-8088-46df-bc8f-e5e97bdb002b,153.72092843055725,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,72.02804746494067,6.194945928058587,6.284170650644228,3
bca0a1d8-902b-43e3-9330-00667f14172f,118.96189868450165,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,96.3992707383774,0.28820242907386273,0.2960604490169014,3
bce1cef6-54fc-43b5-9380-4dfecc596a02,145.6991982460022,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,97.98264868819902,0.48108919302467257,0.4888798469910398,3
bd667134-6718-48ea-ad29-8f00b2463949,116.248260140419,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,91.41574220813523,0.5335155170178041,0.6089339889974023,3
c2c6b732-5882-4091-a6df-6ffffc7ea5a5,93.33474904298782,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,87.97016601170904,3.024347782949917,3.0371101066314927,3
e040513b-d5bd-4c76-8b52-151dc0e23362,113.97911131381989,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,84.68061051441492,3.8124867760343477,3.835021458022917,3
e880a943-c2d7-456b-8701-0f5b0cec81e5,120.99025964736938,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,87.25215910473179,2.153944046003744,2.1916886060110605,3
f56ab9b1-d9a1-4f5f-9a63-a39f37a25eea,92.88086861371994,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,91.54200230149597,0.4852417600341141,0.5064360239775851,3
f5a98603-643e-4eb5-b1b2-82506d507d92,127.92829990386963,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,92.2438822065533,0.642485485994257,0.6518298529942209,3
f66617bb-c240-4004-b316-ed986e759e9d,99.09188866615295,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,98.21997874601487,0.18034055700991303,0.20404702463808158,3
f6bab911-32d5-4edc-974e-b9c25e415588,91.70978635549545,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,97.74220032840722,0.156814195914194,0.1625770196551457,3
ffe59e68-ac3e-47f4-a592-8ed831d25460,98.0342847108841,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,array,85.53573753417524,2.35981248493772,2.397058961020472,3
080281e0-850c-4030-a1eb-da148c77a9cf,156.6183578968048,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,99.50508174988953,0.2390731730265543,0.2519120353584488,3
13b54e4f-f8f8-4b93-84c5-61ac5a170582,177.97147750854492,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,96.59897476340694,0.6258148041088134,0.6610774477012455,3
15e69e83-9763-4e3d-b98f-0112f9d8a0ff,135.43013453483582,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,93.2438059546117,1.3829428249737248,1.4128950296823557,3
2863720e-f0d2-4679-a463-e8942091b113,161.7336881160736,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,97.72016092981673,0.6785904549760744,0.6955361200186113,3
2a0b77ce-1f12-4a2b-8712-ddb79a9e5746,142.26308584213257,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,92.38292486480267,1.2929538259049878,1.3070356619621937,3
31b5555a-ff42-4060-8504-97805fe9dbca,120.86735486984253,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,96.7074682367524,0.736859341035597,0.7582391913359364,3
38cf13ac-fc55-4e7a-82a9-76d9e278380e,137.6460564136505,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,96.11650485436894,0.6884290319867432,0.7251330686267465,3
3de01567-4d63-4d60-be0f-717162ef3a2e,160.04783034324646,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,95.7158836689038,0.7496771320002154,0.8210098836570978,3
4ee9e379-9cfe-42bd-9e27-7bb3325fdaf5,166.2262988090515,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,97.37783075089392,0.343459980096668,0.3741484346489112,3
510113c3-76bd-4bc9-9089-71e2c1bb2036,79.81263816356659,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,98.34827748938179,0.13348913902882487,0.13908269935442755,3
6893e011-a87f-45fe-ae10-516bc74a5257,146.84538960456848,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,96.55383672844233,0.43584263196680695,0.45023709861561656,3
695cf12e-95f8-4d8a-afdd-02ea04ada6e2,142.38298654556274,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,85.13889994428082,4.02475882100407,4.090076424996369,3
72fd486f-084e-4000-8d19-355604cf687f,158.20101022720337,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,98.08398689566167,0.43095394503325224,0.441811798644873,3
74af10f2-83d9-4fbd-b848-5ac41694f3fd,173.58777046203613,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,97.32851260419805,0.5341545699629933,0.5820439259599274,3
7a78633c-2ba5-4fee-b606-628fa3f3fa30,80.71996614336967,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,97.11236660389203,0.22344564995728433,0.26552706797762465,3
836e6824-cf0d-4dff-8cbc-a17f7f47ae2a,99.21854853630066,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,98.93139559734986,0.2011223080335185,0.20713542168959975,3
883a1941-a022-4bd0-aa7e-bc053cb60856,153.4105908870697,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,90.6818448538904,1.4308494830038399,1.4517843826518704,3
9247005d-f858-45db-874d-bdb91ec05f6e,116.248260140419,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,90.45352042094713,0.7387152839219198,0.7645156243427967,3
acad417b-c3e8-464b-9cf2-f9d9b831095b,144.26342368125916,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,84.11927877947295,3.0965821540448815,3.171430377289653,3
ae66f60e-ad24-4a8c-b34d-ab554da98962,148.0334234237671,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,81.93936933279198,6.2377119939774275,6.380570265348069,3
bb89c4a7-8088-46df-bc8f-e5e97bdb002b,153.72092843055725,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,72.02804746494067,6.261843911954202,6.2821572963148355,3
bca0a1d8-902b-43e3-9330-00667f14172f,118.96189868450165,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,96.3992707383774,0.2935299569508061,0.30248243066792685,3
bce1cef6-54fc-43b5-9380-4dfecc596a02,145.6991982460022,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,97.98264868819902,0.49444613500963897,0.5058204447074482,3
bd667134-6718-48ea-ad29-8f00b2463949,116.248260140419,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,91.41574220813523,0.6557756880065426,0.6795492816794043,3
c2c6b732-5882-4091-a6df-6ffffc7ea5a5,93.33474904298782,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,87.97016601170904,2.9924109870335087,3.006084952658663,3
e040513b-d5bd-4c76-8b52-151dc0e23362,113.97911131381989,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,84.68061051441492,3.8894811819773167,3.9217184566659853,3
e880a943-c2d7-456b-8701-0f5b0cec81e5,120.99025964736938,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,87.25215910473179,2.271305290982127,2.320110106297458,3
f56ab9b1-d9a1-4f5f-9a63-a39f37a25eea,92.88086861371994,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,91.54200230149597,0.5348432899918407,0.5465101573305825,3
f5a98603-643e-4eb5-b1b2-82506d507d92,127.92829990386963,144000,1%/1mm/10%,10,2.0,1,pymedphys,cpu,,tensor,92.2438822065533,0.7403894170420244,0.7460856360460942,3
